note,start_time,end_time,status_id,created_at,updated_at,donor_id
,2025-09-20 16:15:44.607,2025-09-20 19:30:44.607,4,2025-09-20 16:05:47.2306,2025-09-20 16:05:47.2306,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-22 18:30:57.286,2025-09-22 20:30:57.286,4,2025-09-22 18:30:59.772832,2025-09-22 18:30:59.772832,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-24 19:45:49.763,2025-09-24 21:00:49.763,4,2025-09-24 19:35:52.469011,2025-09-24 19:35:52.469011,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-23 17:15:06.063,2025-09-23 19:30:06.063,4,2025-09-23 17:03:09.014636,2025-09-23 17:03:09.014636,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTAS: 9.246-9.247 E 9.248,2025-10-09 17:45:24.128,2025-10-09 19:00:24.128,4,2025-10-09 17:37:25.028959,2025-10-09 17:37:25.028959,7c2166f9-688b-40c6-8f2f-55113a223be4
nota 9.189,2025-10-02 18:00:43.326,2025-10-02 19:00:43.326,4,2025-10-02 18:56:44.625546,2025-10-02 18:56:44.625546,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-01 18:00:45.73,2025-10-01 19:45:45.73,4,2025-10-01 17:43:47.428224,2025-10-01 17:43:47.428224,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-13 16:00:03.561,2025-10-13 19:30:03.561,4,2025-10-13 15:31:05.537161,2025-10-13 15:31:05.537161,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-26 19:15:55.286,2025-09-26 22:00:55.286,4,2025-09-26 18:45:57.252918,2025-09-26 18:45:57.252918,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-27 16:00:28.214,2025-09-27 19:30:28.214,4,2025-09-27 15:43:31.690615,2025-09-27 15:43:31.690615,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-30 17:30:44.974,2025-09-30 19:30:44.974,4,2025-09-30 17:22:47.557071,2025-09-30 17:22:47.557071,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-03 18:30:13.166,2025-10-03 21:00:13.166,4,2025-10-03 18:29:14.576462,2025-10-03 18:29:14.576462,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-04 16:00:38.667,2025-10-04 19:30:38.667,4,2025-10-04 15:38:41.252589,2025-10-04 15:38:41.252589,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-06 19:15:22.068,2025-10-06 21:00:22.068,4,2025-10-06 19:03:24.82125,2025-10-06 19:03:24.82125,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTAS 9.231 E 9.232,2025-10-07 18:00:33.747,2025-10-07 19:00:33.747,4,2025-10-07 17:54:35.005878,2025-10-07 17:54:35.005878,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTAS: 9.311 E 9.312,2025-10-14 17:45:15.983,2025-10-14 19:00:15.983,4,2025-10-14 17:33:18.092424,2025-10-14 17:33:18.092424,7c2166f9-688b-40c6-8f2f-55113a223be4
